Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
38,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
39,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
40,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
41,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
42,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
43,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
44,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
45,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
46,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
47,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
48,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
49,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
50,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
51,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
52,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
53,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
54,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
55,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
