Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
59,All Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nagoya International Conference Hall,2023-11-19,AJPW Real World Tag League 2023 - Tag 3,733,https://www.cagematch.net/?id=1&nr=380304
60,All Japan Pro Wrestling,"Tokorozawa, Saitama, Japan",Tokorozawa Citizen Gymnasium Sub Arena,2023-11-15,AJPW Real World Tag League 2023 - Tag 2,560,https://www.cagematch.net/?id=1&nr=380047
61,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-11-12,AJPW Real World Tag League 2023 - Tag 1,"1,320",https://www.cagematch.net/?id=1&nr=379763
62,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Hotel Emisia Sapporo,2023-11-05,AJPW Giant Series 2023 ~ Hokkaido Edition - Tag 6 (Day Show),596,https://www.cagematch.net/?id=1&nr=379369
63,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Hotel Emisia Sapporo,2023-11-05,AJPW Giant Series 2023 ~ Hokkaido Edition - Tag 6 (Evening Show),797,https://www.cagematch.net/?id=1&nr=379370
64,All Japan Pro Wrestling,"Iwamizawa, Hokkaido, Japan",Iwamizawa City Event Hall Red Brick,2023-11-04,AJPW Giant Series 2023 ~ Hokkaido Edition - Tag 5,545,https://www.cagematch.net/?id=1&nr=379258
65,All Japan Pro Wrestling,"Asahikawa, Hokkaido, Japan",Asahikawa Local Industry Promotion Center,2023-11-02,AJPW Giant Series 2023 ~ Hokkaido Edition - Tag 3,388,https://www.cagematch.net/?id=1&nr=379106
66,All Japan Pro Wrestling,"Yotsuba, Hokkaido, Japan",Yotsuba Arena Tokachi Sub Arena,2023-11-01,AJPW Giant Series 2023 ~ Hokkaido Edition - Tag 2,428,https://www.cagematch.net/?id=1&nr=379047
67,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-12-21,AJPW New Age Chronicle-Z2,335,https://www.cagematch.net/?id=1&nr=383267
68,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-12-06,AJPW Real World Tag League 2023 - Tag 10,"1,443",https://www.cagematch.net/?id=1&nr=381906
69,All Japan Pro Wrestling,"Osaka, Japan",EDION Arena Osaka #2,2023-12-03,AJPW Real World Tag League 2023 - Tag 9,914,https://www.cagematch.net/?id=1&nr=381555
70,All Japan Pro Wrestling,"Matsuyama, Ehime, Japan",Item Ehime,2023-12-02,AJPW Real World Tag League 2023 - Tag 8,520,https://www.cagematch.net/?id=1&nr=381465
71,New Japan Pro Wrestling,"Yokote, Akita, Japan",Akita Furusato Village Dome Theater,2023-01-31,NJPW Road To The New Beginning 2023 - Tag 6,702,https://www.cagematch.net/?id=1&nr=357790
72,New Japan Pro Wrestling,"Morioka, Iwate, Japan",Iwate Prefectural Gymnasium,2023-01-30,NJPW Road To The New Beginning 2023 - Tag 5,"1,150",https://www.cagematch.net/?id=1&nr=358586
73,New Japan Pro Wrestling,"Koga, Ibaraki, Japan",Koga City Central Athletic Park Gymnasium,2023-01-28,NJPW Road To The New Beginning 2023 - Tag 4,934,https://www.cagematch.net/?id=1&nr=357789
74,New Japan Pro Wrestling,"Funabashi, Chiba, Japan",Funabashi Arena,2023-01-27,NJPW Road To The New Beginning 2023 - Tag 3,760,https://www.cagematch.net/?id=1&nr=357788
75,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-01-25,NJPW Road To The New Beginning 2023 - Tag 2,670,https://www.cagematch.net/?id=1&nr=357787
76,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-01-24,NJPW Road To The New Beginning 2023 - Tag 1,705,https://www.cagematch.net/?id=1&nr=357786
